image,sigma,algorithm,search radius,neighbor radius,psnr,MSSIM,execution time (s)
toy_324x216,0,original,-,-,inf,1.000000,-
toy_324x216,40,noisy,-,-,0.000000,0.000000,-
toy_324x216,40,swnlm,10,3,0.000000,0.000000,45.515000
toy_324x216,40,cnlm,10,3,0.000000,0.000000,1.791000
toy_324x216,40,swnlm_cuda,10,3,0.000000,0.000000,0.330000
toy_324x216,40,cnlm_cuda,10,3,0.000000,0.000000,0.041000
toy_1296x864,0,original,-,-,inf,1.000000,-
toy_1296x864,40,noisy,-,-,0.000000,0.000000,-
toy_1296x864,40,swnlm,10,3,0.000000,0.000000,729.812000
toy_1296x864,40,cnlm,10,3,0.000000,0.000000,28.604000
toy_1296x864,40,swnlm_cuda,10,3,0.000000,0.000000,5.145000
toy_1296x864,40,cnlm_cuda,10,3,0.000000,0.000000,0.660000
book_324x216,0,original,-,-,inf,1.000000,-
book_324x216,40,noisy,-,-,0.000000,0.000000,-
book_324x216,40,swnlm,10,3,0.000000,0.000000,45.538000
book_324x216,40,cnlm,10,3,0.000000,0.000000,1.782000
book_324x216,40,swnlm_cuda,10,3,0.000000,0.000000,0.320000
book_324x216,40,cnlm_cuda,10,3,0.000000,0.000000,0.040000
water_324x216,0,original,-,-,inf,1.000000,-
water_324x216,40,noisy,-,-,0.000000,0.000000,-
water_324x216,40,swnlm,10,3,0.000000,0.000000,45.557000
water_324x216,40,cnlm,10,3,0.000000,0.000000,1.789000
water_324x216,40,swnlm_cuda,10,3,0.000000,0.000000,0.314000
water_324x216,40,cnlm_cuda,10,3,0.000000,0.000000,0.039000
water_1296x864,0,original,-,-,inf,1.000000,-
water_1296x864,40,noisy,-,-,0.000000,0.000000,-
water_1296x864,40,swnlm,10,3,0.000000,0.000000,730.536000
water_1296x864,40,cnlm,10,3,0.000000,0.000000,28.590000
water_1296x864,40,swnlm_cuda,10,3,0.000000,0.000000,4.997000
water_1296x864,40,cnlm_cuda,10,3,0.000000,0.000000,0.622000
toy_2592x1728,0,original,-,-,inf,1.000000,-
toy_2592x1728,40,noisy,-,-,0.000000,0.000000,-
toy_2592x1728,40,swnlm,10,3,0.000000,0.000000,2922.723000
toy_2592x1728,40,cnlm,10,3,0.000000,0.000000,114.444000
toy_2592x1728,40,swnlm_cuda,10,3,0.000000,0.000000,20.307000
toy_2592x1728,40,cnlm_cuda,10,3,0.000000,0.000000,2.547000
book_2592x1728,0,original,-,-,inf,1.000000,-
book_2592x1728,40,noisy,-,-,0.000000,0.000000,-
book_2592x1728,40,swnlm,10,3,0.000000,0.000000,2920.597000
book_2592x1728,40,cnlm,10,3,0.000000,0.000000,114.400000
book_2592x1728,40,swnlm_cuda,10,3,0.000000,0.000000,20.407000
book_2592x1728,40,cnlm_cuda,10,3,0.000000,0.000000,2.538000
book_648x432,0,original,-,-,inf,1.000000,-
book_648x432,40,noisy,-,-,0.000000,0.000000,-
book_648x432,40,swnlm,10,3,0.000000,0.000000,182.210000
book_648x432,40,cnlm,10,3,0.000000,0.000000,7.154000
book_648x432,40,swnlm_cuda,10,3,0.000000,0.000000,1.272000
book_648x432,40,cnlm_cuda,10,3,0.000000,0.000000,0.158000
water_2592x1728,0,original,-,-,inf,1.000000,-
water_2592x1728,40,noisy,-,-,0.000000,0.000000,-
water_2592x1728,40,swnlm,10,3,0.000000,0.000000,2922.537000
water_2592x1728,40,cnlm,10,3,0.000000,0.000000,114.428000
water_2592x1728,40,swnlm_cuda,10,3,0.000000,0.000000,20.201000
water_2592x1728,40,cnlm_cuda,10,3,0.000000,0.000000,2.537000
water_648x432,0,original,-,-,inf,1.000000,-
water_648x432,40,noisy,-,-,0.000000,0.000000,-
water_648x432,40,swnlm,10,3,0.000000,0.000000,182.294000
water_648x432,40,cnlm,10,3,0.000000,0.000000,7.160000
water_648x432,40,swnlm_cuda,10,3,0.000000,0.000000,1.254000
water_648x432,40,cnlm_cuda,10,3,0.000000,0.000000,0.157000
book_1296x864,0,original,-,-,inf,1.000000,-
book_1296x864,40,noisy,-,-,0.000000,0.000000,-
book_1296x864,40,swnlm,10,3,0.000000,0.000000,729.619000
book_1296x864,40,cnlm,10,3,0.000000,0.000000,28.614000
book_1296x864,40,swnlm_cuda,10,3,0.000000,0.000000,5.090000
book_1296x864,40,cnlm_cuda,10,3,0.000000,0.000000,0.623000
toy_648x432,0,original,-,-,inf,1.000000,-
toy_648x432,40,noisy,-,-,0.000000,0.000000,-
toy_648x432,40,swnlm,10,3,0.000000,0.000000,182.014000
toy_648x432,40,cnlm,10,3,0.000000,0.000000,7.159000
toy_648x432,40,swnlm_cuda,10,3,0.000000,0.000000,1.262000
toy_648x432,40,cnlm_cuda,10,3,0.000000,0.000000,0.159000
